,Tweets
359," 1 _CatMan     he stopped speaking at 1:10pm. building wasn’t breached til 2:13pm. Trump’s “go home” video didn’t go out til 4:17pm.

took two hours for him to tell his supporters to gtfo and go home? lol why?"
360,: . thanks  for his disclosures and seeks more info from  Files. 
361,     Link me the portion of the files you consider to be the closest to being considered damning evidence please.
362, 30044649  _       Have you read any of the twitter files???
363,2     And both the DOJ and FBI were being run by Trump appointees. But facts don’t matter to cult members like these guys I guess.
364,   Too many people hang on his every lie. We need to keep track of where he’s going.
365,: . thanks  for his disclosures and seeks more info from  Files. 
366,"247: 16. What do all of these Twitter employees have in common? They were ALL hired since  was elected.

Wh…"
367,     No… and I’m not sure you know what impeached means. Trump was charged with all sorts of crap that didn’t amount to anything. I could impeach your mother for giving the town chlamydia.
368,     Like stand on a street corner and shout it out. That should work.
369,"@808EagleWings: Core Values










…"
370,"314  Do you think he actually would terminate the Constitution? Or do you think Trump was having a Trump moment (like normal), talking out of his ass? I understand the context of what he meant, but he definitely could have worded it better."
371,     I’ll take a page from your playbook. Ah hem… So you support sexual exploitation of children and pedophilia?
372,": Breaking:   Files show Twitter activist employees, without basis, suppressed and censored the President of…"
373,_Real_Zarxs      Over literal burning cities. Black communities. For a dude who overdosed on drugs. And Jan 6 was a field trip about you can’t summon the dead and vote more than once per person to win an election. “March over peacefully” trump. Over “take by force” democrats.
374,: . thanks  for his disclosures and seeks more info from  Files. 
375,29766209    Says the guy who flunked English grammar in grade school.
376,": Breaking:   Files show Twitter activist employees, without basis, suppressed and censored the President of…"
377,"    Thanks Elon.
World will be a better place tomorrow."
